	Лемма 	Лемма 	Часть речи 	Частота (ipm) 	Худ.лит.1950-60-е 	1970-80-е 	1990-2000-е 	Публ. 1950-60-е 	1970-80-е 	1990-2000-е 
 
1  	и	и	conj	35801.8	37546.0	39187.7	36514.7	36703.6	38352.1	35539.5	
2  	в	в	pr	31374.2	23943.5	25005.7	26185.7	35295.3	33264.3	36372.5	
3  	не	не	part	18028.0	21154.3	22921.5	22349.1	16127.4	18796.9	16853.2	
4  	на	на	pr	15867.3	17169.9	16411.7	16663.0	15249.8	15961.9	16675.2	
5  	я	я	spro	12684.4	17022.7	17090.5	18257.0	13881.5	16386.7	10447.1	
6  	быть	быть	v	12160.7	12467.9	13492.8	12778.1	14458.2	15091.8	12646.0	
7  	он	он	spro	11791.1	19708.0	18587.1	16882.0	11721.6	12799.3	8811.7	
8  	с	с	pr	11311.9	11186.1	10974.4	11655.3	11060.5	11662.5	11462.7	
9  	что	что	conj	8354.0	8155.2	8313.9	8938.8	7634.5	9702.4	8743.1	
10  	а	а	conj	8198.0	10298.0	10772.2	9897.5	5748.9	7643.3	7298.8	
11  	по	по	pr	5786.7	4506.0	4616.7	4840.0	5059.6	5353.8	6656.1	
12  	это	это	spro	5707.8	6038.4	6137.5	5946.6	5378.3	6614.3	5831.8	
13  	она	она	spro	5592.4	8375.6	8348.8	9474.0	5302.7	4673.6	3733.1	
14  	этот	этот	apro	5414.0	5140.8	4817.3	4723.1	6032.0	6689.8	5919.4	
15  	к	к	pr	5389.0	5698.6	5318.7	5363.7	5874.9	5954.7	5341.7	
16  	но	но	conj	5381.4	5698.3	6201.0	6256.6	5234.5	6324.1	5597.2	
17  	они	они	spro	4850.0	5869.7	5636.6	5358.9	4683.0	5658.6	4788.9	
18  	мы	мы	spro	4704.8	4525.6	4482.9	4194.8	5424.2	8155.8	5241.8	
19  	как	как	conj	4403.7	4658.0	4819.5	4948.4	4149.3	4650.9	4248.5	
20  	из	из	pr	4314.1	3804.5	3846.3	4290.8	4634.1	4804.2	4774.0	
21  	у	у	pr	4306.1	5164.8	5315.6	5353.6	3849.9	4423.8	3873.6	
22  	который	который	apro	4209.0	2800.6	2780.2	3296.8	4373.2	4813.4	4998.2	
23  	то	то	spro	3964.4	3161.1	3303.3	3673.5	3636.4	4309.7	4498.0	
24  	за	за	pr	3904.1	4502.2	4400.6	4493.4	4066.3	3895.2	3999.8	
25  	свой	свой	apro	3825.5	3887.9	3824.5	3882.2	4648.9	4510.8	4273.2	
26  	что	что	spro	3810.2	5126.0	5073.6	5163.3	2918.9	3480.3	3121.2	
27  	весь	весь	apro	3786.3	4011.8	3985.9	3675.6	4816.4	4389.7	4074.7	
28  	год	год	s	3727.5	1225.1	1631.8	1469.0	5373.8	4550.0	5660.9	
29  	от	от	pr	3672.5	3490.4	3551.8	3670.5	3375.5	3634.4	3665.1	
30  	так	так	advpro	3440.4	4226.3	4095.0	4077.7	2987.1	3388.6	3086.5	
31  	о	о	pr	3407.1	2619.2	2524.8	2572.9	4502.2	4348.6	3951.3	
32  	для	для	pr	3229.3	1784.3	1764.1	1846.3	3116.1	3394.8	3925.2	
33  	ты	ты	spro	3171.2	5889.3	5881.9	6319.7	1294.2	1423.4	1204.2	
34  	же	же	part	3144.3	3778.4	3961.8	3711.5	3248.0	3720.6	2975.5	
35  	все	все	spro	3106.8	4022.1	4294.9	3935.1	2800.3	3376.5	2830.4	
36  	тот	тот	apro	2967.1	2597.8	2589.0	2746.2	3291.0	3510.0	3201.0	
37  	мочь	мочь	v	2912.3	2905.8	2883.4	2843.5	2447.5	3073.4	2823.4	
38  	вы	вы	spro	2906.4	5250.0	4505.1	3843.2	1246.7	2200.4	2155.9	
39  	человек	человек	s	2723.0	3236.6	2799.9	2476.3	3231.7	4119.7	2853.2	
40  	такой	такой	apro	2696.8	2580.3	2650.9	2644.7	2260.7	2910.2	2695.6	
41  	его	его	apro	2577.9	2705.2	2531.3	2692.1	3354.8	2839.8	2604.7	
42  	сказать	сказать	v	2396.6	5313.8	4686.2	3599.9	1632.2	2110.8	1436.1	
43  	только	только	part	2391.7	2651.0	2452.0	2474.2	2460.8	2713.9	2468.8	
44  	или	или	conj	2345.0	1459.9	1783.4	1850.9	1879.7	2293.2	2276.2	
45  	еще	еще	adv	2323.9	2974.4	3088.3	2857.0	2425.3	2634.7	2219.8	
46  	бы	бы	part	2322.4	2829.3	3026.3	2821.8	2274.1	2801.2	2120.5	
47  	себя	себя	spro	2272.8	2664.4	2879.3	2912.8	2066.5	2431.8	1998.7	
48  	один	один	apro	2245.7	2231.6	2183.2	2171.2	2280.0	2646.1	2441.2	
49  	как	как	advpro	2212.7	2746.9	2714.3	2609.4	2278.5	2362.5	2015.4	
50  	уже	уже	adv	2179.2	2294.7	2548.3	2590.0	2066.5	2303.1	2256.1	
51  	до	до	pr	2061.1	1764.1	1926.0	1896.6	1913.8	2125.2	2274.8	
52  	время	время	s	2015.7	1597.3	1590.1	1702.9	2030.9	2592.5	2350.8	
53  	если	если	conj	1998.1	1782.2	1864.3	2021.5	1280.8	1879.0	2042.5	
54  	сам	сам	apro	1986.3	2118.7	2340.1	2394.0	1801.2	2058.0	1947.0	
55  	когда	когда	conj	1895.7	2193.2	2160.8	2167.9	2122.8	2664.8	1880.3	
56  	другой	другой	apro	1837.3	1564.0	1564.9	1507.5	2090.2	2205.1	1946.4	
57  	вот	вот	part	1785.1	2814.6	2670.7	2176.5	1451.3	1665.9	1321.8	
58  	говорить	говорить	v	1755.0	2595.2	2241.0	2047.9	1909.4	1993.1	1530.5	
59  	наш	наш	apro	1731.8	1299.2	1425.9	1235.6	2558.7	2956.4	2277.9	
60  	мой	мой	apro	1720.3	1765.1	1930.4	2307.2	2802.1	2375.6	1706.4	
61  	знать	знать	v	1713.8	2504.1	2591.9	2526.6	1561.0	1986.5	1215.6	
62  	стать	стать	v	1621.8	1862.4	1728.9	1692.5	1435.0	1872.4	1873.3	
63  	при	при	pr	1550.8	684.7	751.4	781.0	1085.1	1201.1	1612.6	
64  	чтобы	чтобы	conj	1479.7	1459.4	1451.2	1588.4	1561.0	2012.5	1585.7	
65  	дело	дело	s	1412.1	1399.0	1377.6	1433.1	1267.5	1757.6	1465.2	
66  	жизнь	жизнь	s	1389.8	1109.9	1304.2	1347.1	1921.2	1927.0	1512.5	
67  	кто	кто	spro	1374.8	1621.6	1732.3	1877.7	1162.2	1408.0	1281.0	
68  	первый	первый	anum	1345.6	943.1	1024.6	1002.0	1692.9	1669.2	1721.0	
69  	очень	очень	adv	1286.8	1263.5	1199.9	1141.9	1491.3	1655.2	1483.3	
70  	два	два	num	1285.1	1254.5	1281.0	1339.7	1163.7	1330.6	1348.0	
71  	день	день	s	1258.4	1277.8	1302.1	1274.9	1909.0	1798.1	1364.0	
72  	ее	ее	apro	1219.2	1329.0	1174.2	1587.9	1589.2	1191.2	1074.5	
73  	новый	новый	a	1217.5	711.3	662.6	691.1	1479.5	1408.7	1696.3	
74  	рука	рука	s	1200.6	2468.9	2037.5	2088.1	1105.9	965.9	693.0	
75  	даже	даже	part	1179.8	1285.2	1366.1	1426.0	1055.5	1286.2	1223.5	
76  	во	во	pr	1167.8	906.4	1014.1	1009.2	1521.0	1408.0	1347.5	
77  	со	со	pr	1151.3	1223.8	1210.2	1263.1	1301.6	1289.5	1170.4	
78  	раз	раз	s	1131.8	1237.5	1323.3	1349.2	1184.5	1255.0	1107.3	
79  	где	где	advpro	1129.2	1282.9	1345.8	1317.0	1446.9	1291.3	1125.3	
80  	там	там	advpro	1128.1	1428.0	1485.8	1452.5	1036.2	1067.5	886.5	
81  	под	под	pr	1126.0	1405.5	1392.4	1411.6	1200.8	1042.6	1062.4	
